X1,X2,Y
-9,-5,141
8,-8,92
-7,-7,67
-9,-19,71
8,17,217
4,-8,-4
17,-11,527
-19,-4,706
12,-17,207
-17,-15,507
15,-11,399
15,9,499
3,4,42
-14,5,421
18,0,652
19,-1,721
-12,-12,232
-9,19,261
2,-10,-38
8,10,182
16,1,521
11,-1,241
-3,6,52
-4,4,56
0,-8,-36
14,-19,301
-20,-8,764
-15,-9,409
2,-8,-28
10,-5,179
6,-2,66
1,-10,-44
-7,-12,42
10,-17,119
20,-18,714
-17,-16,502
14,4,416
-1,9,51
6,0,76
-3,6,52
16,-15,441
5,-9,9
-6,12,136
0,4,24
16,-17,431
3,16,102
-9,4,186
-14,-13,331
16,-13,451
-16,-17,431
11,1,251
15,-19,359
3,4,42
-5,12,114
-11,0,246
-20,-7,769
-10,17,289
-11,15,321
-2,-13,-53
-10,6,234
7,20,202
-4,-20,-64
-9,15,241
-2,-10,-38
-16,2,526
15,-13,389
4,12,96
-5,0,54
-10,17,289
-14,-10,346
6,0,76
-6,-6,46
-17,-13,517
8,-17,47
5,-18,-36
15,-3,439
6,-7,41
16,-8,476
-7,8,142
11,-12,186
-3,18,112
18,15,727
8,1,137
6,3,91
-10,-14,134
13,-18,252
6,-20,-24
-5,-4,34
-10,13,269
16,-1,511
-10,-14,134
18,-9,607
16,-5,491
16,4,536
0,-2,-6
-3,4,42
15,15,529
20,-6,774
20,1,809
2,-1,7
-19,18,816
16,-7,481
-1,10,56
3,14,92
-2,18,102
-6,5,101
14,-15,321
-16,18,606
1,15,81
-19,-18,636
-16,-11,461
-19,-13,661
10,17,289
8,5,157
-1,13,71
-7,-19,7
-18,17,737
-1,-6,-24
-11,-9,201
-20,-4,784
8,18,222
17,-20,482
-12,2,302
18,1,657
7,-13,37
-14,4,416
-10,-3,189
-4,-12,-24
15,-11,399
-3,14,92
4,3,51
-8,15,207
5,1,59
-19,-19,631
10,-4,184
17,-18,492
11,-9,201
16,-19,421
-11,-8,206
-1,12,66
-15,20,554
-10,-11,149
-8,-6,102
16,8,556
4,-18,-54
18,-17,567
-19,-19,631
-8,2,142
-2,-11,-43
4,20,136
12,19,387
6,10,126
-14,14,466
13,-13,277
-2,19,107
14,10,446
-14,-1,391
-2,-1,7
19,-6,696
16,17,601
-2,-20,-88
-3,-8,-18
-11,-11,191
6,-9,31
-14,-6,366
3,-5,-3
-9,-10,116
5,12,114
12,-11,237
-8,8,172
14,10,446
0,15,79
-2,-16,-68
12,9,337
-10,19,299
-9,12,226
17,-7,547
-1,9,51
-1,-18,-84
20,-6,774
-4,14,106
-11,8,286
6,5,101
-2,16,92
-14,-10,346
6,2,86
-13,9,387
17,4,602
-14,-8,356
20,-19,709
-1,-3,-9
-3,13,87
13,13,407
-4,-9,-9
-19,-10,676
15,10,504
-15,3,469
-17,7,617
-7,-20,2
11,-17,161
9,-19,71
-4,9,81
7,19,197
16,0,516
-4,-9,-9
18,-18,562
-7,-15,27
9,3,181
4,0,36
-16,-17,431
1,-3,-9
8,16,212
6,11,131
-20,-12,744
11,-4,226
11,-20,146
-9,15,241
-3,-13,-43
-13,-12,282
12,0,292
0,-7,-31
7,15,177
9,9,211
-11,-13,181
-9,19,261
-18,-10,602
14,8,436
20,13,869
-1,3,21
1,4,26
10,3,219
13,-13,277
20,-5,779
-19,-18,636
11,-5,221
17,7,617
14,16,476
0,18,94
2,-10,-38
-18,-2,642
10,-10,154
16,14,586
-5,16,134
20,2,814
8,7,167
-1,3,21
-16,-10,466
5,-6,24
-12,19,387
-16,-13,451
-12,-13,227
-6,13,141
-11,8,286
6,10,126
-15,-3,439
-10,5,229
2,16,92
-10,-10,154
18,13,717
-20,-4,784
-13,-10,292
16,14,586
12,-1,287
-9,-5,141
-14,16,476
18,11,707
10,1,209
10,-13,139
17,-1,577
4,-19,-59
-10,2,214
9,-16,86
3,18,112
-12,-10,242
-17,-9,537
2,19,107
2,-20,-88
-1,0,6
-16,-10,466
5,7,89
20,13,869
3,-4,2
16,6,546
14,10,446
4,7,71
-9,18,256
16,0,516
9,-14,96
17,-2,572
-18,14,722
11,19,341
8,20,232
17,-10,532
-3,9,67
-15,-13,389
-20,-4,784
-13,10,392
-17,-5,557
-9,-11,111
4,-14,-34
-4,11,91
20,-1,799
18,18,742
20,11,859
17,7,617
13,16,422
-1,0,6
-11,-5,221
6,-8,36
-17,-20,482
9,18,256
-1,6,36
13,-17,257
-17,-3,567
-3,-8,-18
-11,1,251
15,15,529
-8,-13,67
10,-3,189
7,-16,22
1,10,56
-2,15,87
19,11,781
-8,-15,57
6,3,91
-3,-6,-8
9,-17,81
12,-10,242
19,14,796
9,5,191
-3,-12,-38
11,7,281
-8,6,162
-18,19,747
0,20,104
7,5,127
-16,11,571
17,17,667
-4,-9,-9
-19,11,781
13,1,347
-6,-16,-4
-17,19,677
9,19,261
6,5,101
1,4,26
17,7,617
0,5,29
-11,-10,196
-2,-9,-33
-7,-10,52
13,1,347
-20,8,844
-20,5,829
-5,16,134
-4,-11,-19
-20,1,809
5,6,84
-9,-3,151
-17,15,657
-18,-14,582
9,-5,141
17,-20,482
11,17,331
-19,10,776
3,-6,-8
-14,-17,311
-5,18,144
-15,4,474
-20,-7,769
-8,-13,67
-6,-6,46
-6,-16,-4
-15,4,474
5,10,104
-14,16,476
18,6,682
4,2,46
13,9,387
3,-9,-23
10,-5,179
-1,6,36
-20,-5,779
8,5,157
17,-20,482
14,11,451
1,13,71
-10,-12,144
3,17,107
15,19,549
19,0,726
-12,-4,272
18,-20,552
-7,-19,7
-12,-13,227
13,9,387
8,-18,42
-20,4,824
15,4,474
10,1,209
5,20,154
19,-5,701
1,-5,-19
-1,19,101
-8,-1,127
0,3,19
3,-5,-3
-2,-19,-83
11,11,301
-6,-10,26
19,12,786
-7,8,142
-2,-14,-58
18,6,682
16,7,551
14,6,426
18,8,692
-15,6,484
19,-3,711
-3,6,52
0,-18,-86
-6,-10,26
-20,-7,769
15,20,554
17,-9,537
-5,3,69
-7,6,132
-19,-15,651
13,-5,317
-4,-3,21
-14,-14,326
-5,17,139
-20,-8,764
3,-11,-33
-3,-6,-8
-8,4,152
0,11,59
16,8,556
-20,-1,799
-17,-4,562
16,-9,471
-7,-13,37
16,6,546
11,-18,156
-6,-12,16
15,17,539
12,-11,237
-4,20,136
-12,-5,267
-1,-19,-89
6,9,121
-4,-8,-4
7,-9,57
12,17,377
7,-4,82
-13,15,417
4,-14,-34
16,15,591
-4,2,46
-10,18,294
6,19,171
17,20,682
-10,-19,109
-13,14,412
11,9,291
4,6,66
4,14,106
-3,-19,-73
20,6,834
-7,9,147
-6,6,106
18,11,707
11,-5,221
-19,0,726
10,19,299
-7,-17,17
-13,-4,322
3,-12,-38
-14,-1,391
-10,1,209
