X1,X2,X3,X4,X5,Y
-14,0,-16,1,7,-108.74611159177132
6,4,-11,-10,-16,407.9344358554408
13,-2,-14,9,-17,274.54378062866226
12,12,-4,13,19,-64.05752814981682
4,3,-5,-13,-17,-163.07643116084674
4,-5,1,1,-16,1.7562326813508946
19,-18,-4,11,-12,17.937047692945598
15,18,-4,-7,16,-147.33457966624673
19,1,-19,-15,-15,128.61128566093518
0,8,-13,-1,0,-0.0
-11,15,-9,15,-18,297.5211095881488
4,19,-18,-8,11,-288.6332802495487
8,-7,11,-19,8,474.2091130978053
10,11,17,-15,6,208.9584467927479
14,11,-15,-12,-5,90.39590568794341
-6,15,-13,-15,-8,42.87388616996026
1,11,-16,9,19,-529.3381366354985
-9,-19,15,-12,-8,108.73041209111153
9,-2,-10,20,1,-47.62508035864057
18,-7,15,1,-5,-76.98564579823694
-15,16,-8,10,-9,-10.906136984862094
2,6,-3,-5,8,-4.17411942825076
13,2,-13,11,-17,472.05316545039284
18,0,6,-16,18,134.8656743804899
8,-14,-13,-9,15,-227.66734009678422
-11,-14,7,-14,-13,-530.0606284137331
-2,8,-1,-12,-11,163.91988740918677
-17,-16,-1,13,-8,-43.66939653465288
-5,-6,-3,-19,-17,253.41303024595243
9,14,5,-19,-15,-647.1121807923197
12,20,16,17,-7,-86.42980545732003
-14,-14,0,-18,11,-214.52507932217046
-10,-8,-13,16,-3,26.06757305387736
-7,3,18,17,8,-68.57712682274806
-11,-4,5,-8,-19,-318.25025803208007
-14,-1,0,-12,-5,65.00569945072587
20,-17,9,-13,-8,-159.58636758075986
-10,19,13,11,-8,-104.03817028741159
11,-5,-4,18,16,513.8815138243966
-9,-19,12,13,-3,-71.92909223792476
-19,-1,-15,-15,10,245.34184788301786
8,17,1,3,-18,-32.94125123683386
-15,6,-11,-13,12,-8.199327111796777
-9,-18,16,-18,-20,-869.1981369463742
-9,3,11,4,-8,-108.51684366881895
-7,5,-18,6,5,-75.89416168171446
-5,-8,13,6,15,253.88984984676426
-13,17,-3,12,20,-492.3686370953723
7,-13,-2,-2,3,-9.933583088946579
14,7,-17,9,-12,266.9719787272767
2,8,-20,-17,17,-468.504228216163
-8,-16,13,14,-15,-439.6333865015117
-20,15,6,1,-3,-16.85378004398183
7,-4,6,14,-11,38.86144031569924
10,13,6,-5,-13,-46.41137334202051
20,-11,7,8,20,62.50538668926443
1,-3,5,-3,12,73.91614116832739
11,-18,7,-1,-1,-6.282255080750178
18,-5,0,16,-20,-54.362201961651465
3,0,11,-20,4,-32.08143874011334
12,18,-20,12,-9,-5.319764862525677
-3,15,4,4,8,46.895497542854216
-12,5,2,-7,-13,7.475175237918208
-17,17,-15,11,-17,149.7537147628558
-9,5,12,0,-13,-156.00110076206605
10,2,-15,-7,-15,246.10882401778812
18,-5,20,16,-7,-217.03240461385832
4,18,16,-12,-2,-58.932219071402514
-3,20,-16,2,-12,169.53863891487106
-12,15,14,-11,19,317.4663078279105
17,-6,-11,9,10,-38.07550052629893
0,-19,-7,-16,10,145.6198512133888
7,10,-7,6,16,58.12641348890648
19,8,15,2,7,82.9669603833043
19,4,-20,-7,5,-149.17575378204015
-9,20,1,-17,-10,404.9391454994118
-19,4,12,7,-13,-178.222207663049
-7,1,9,20,6,-104.0045304875252
9,1,14,7,-14,-171.288437264511
-12,-14,10,-15,20,-13.20083110540714
-17,16,-18,12,20,-242.48027956477503
6,3,17,-13,-5,6.764500040669233
18,2,-4,18,-13,393.7016936832634
5,-11,-1,-14,6,-65.28156586844518
-14,4,10,6,-15,-89.16524554290177
12,9,2,-11,-8,-17.62748888125244
7,9,-14,-15,6,-179.87641583920163
0,5,-15,19,1,12.58216724826812
-6,-18,-4,-19,-15,224.36938708772652
-6,15,5,-2,-20,-69.35500734680984
-10,5,-7,-13,-20,291.60415532863885
-8,-2,17,-5,7,125.72055955985728
15,18,17,4,-8,-135.32410523894566
4,-19,-20,-17,20,-782.4498317720852
15,-7,3,-3,11,-23.64441676247537
0,20,-6,2,-2,1.6328331830104634
-1,-13,12,-13,-10,-191.36942532864276
-9,-19,-8,-9,17,-117.22327202131683
-10,-10,2,9,11,53.092500395811584
-20,-10,11,12,-12,-176.07029828002436
-2,12,13,-6,14,117.17335651576443
0,-16,-3,19,-2,4.8975253940802315
-13,14,7,0,3,21.000000000000004
-10,17,11,16,-3,-11.687991524710961
-8,8,-16,8,-16,339.29242216065194
-8,-3,-16,5,-7,74.73592170427688
-13,-15,-17,10,-14,91.80404087762051
-6,18,11,-16,12,114.07698293646503
3,-8,1,18,-10,-332.8970758236069
3,-6,2,-19,-20,577.0881895101819
17,-16,17,3,0,0.0
-13,-1,12,-17,-11,-142.2861738451117
14,15,13,-10,-15,-249.27684904423435
-5,7,1,2,14,19.242090394416493
-9,16,7,-18,17,112.39883572461338
7,-1,20,1,-12,-237.138159267869
-10,-18,-13,12,19,-439.28753731398916
-8,0,-8,-9,9,-107.60020924554273
11,-11,-9,-14,-10,145.72929227882665
9,-20,-14,2,-4,52.41304340735345
-11,7,-5,1,-9,40.33451942819173
-12,-9,-6,-4,8,22.83738352605825
9,12,10,-12,-13,-19.639955187696163
-5,-1,-2,-12,-3,-36.79560672300855
-15,4,0,-2,11,-36.03949833025133
2,13,20,5,-15,-281.86460858205743
-15,-20,-11,-16,12,-253.35503979604354
18,12,9,14,9,213.15176749019042
-15,17,17,-6,11,106.26827918944869
20,2,10,-10,16,243.9155358580897
-12,2,-6,-19,-16,251.22246048322828
5,-18,-10,-16,17,-349.9125791103885
14,-12,7,4,17,150.4086874893206
6,-7,-1,16,11,365.33698814724346
11,14,8,-6,-2,-2.692197912097915
9,-20,13,20,2,70.84684874639372
2,-16,3,5,-4,-4.934317059375654
19,-12,-16,-14,-5,16.51431806760637
-10,19,-8,-14,-6,84.68229995801889
-8,1,-1,-2,-14,-2.1140952409823797
6,0,-1,-11,3,-17.61249496196211
7,-8,2,-13,14,-186.36718145617385
12,19,-14,-1,-19,259.57611854404433
0,-5,18,-20,18,759.7803689778926
-19,9,-15,19,-13,354.82751578421266
2,17,11,18,0,0.0
4,19,-2,20,18,-215.41880556163107
0,-14,15,-9,3,61.58485571671651
-14,12,-1,12,-18,-238.04371591829866
6,-8,-2,0,-2,3.999994046261737
-5,-6,-13,-20,18,327.3979037843202
-6,0,2,-2,8,59.33109150224384
16,-15,3,6,14,-23.024070616490597
0,-9,4,-17,-16,-581.5288580797468
-8,8,-9,-8,-6,38.855008767010645
15,13,-3,-15,-13,69.28691599256368
20,-6,8,-6,18,342.24195226836275
-9,6,7,0,0,0.0
-2,12,-11,-13,11,-158.16580346934893
-10,2,2,-20,-7,-115.83529827601899
-3,18,4,20,0,-0.0
16,-5,-16,0,-7,111.99996662143076
5,10,-12,12,-1,15.013162167803474
-12,2,9,17,20,-185.98513391669337
3,-17,-9,-5,0,-0.0
-15,-16,-18,-20,13,443.55174844954666
-15,15,-14,-6,11,-145.93276063595607
-16,8,10,-7,16,222.2575214629533
-17,2,0,15,18,100.17592777076443
-3,-9,14,-17,14,889.773793474238
2,-3,-12,-9,-11,15.638965804595756
8,6,-9,11,-11,2.6355844786592777
-5,-10,-4,5,-5,28.475149280789832
-19,-5,16,11,2,48.23211152466
-1,15,9,19,0,0.0
15,1,-1,-14,11,31.589825920408362
-8,-4,11,11,-1,-21.69138346998118
11,-10,-11,-8,-4,45.37059292776713
-14,-2,-3,18,5,-21.366484936506676
